image,class,count
1478019965181415731.jpg,trafficLight,2
1478019965682301515.jpg,car,8
1478019965682301515.jpg,pedestrian,2
1478019965682301515.jpg,trafficLight,2
1478019966187511711.jpg,car,6
1478019966187511711.jpg,pedestrian,2
1478019966187511711.jpg,trafficLight,2
1478019966688931929.jpg,car,6
1478019966688931929.jpg,trafficLight,2
1478019967180239928.jpg,car,6
1478019967180239928.jpg,trafficLight,2
1478019967686224547.jpg,car,6
1478019967686224547.jpg,trafficLight,2
1478019968180276750.jpg,car,6
1478019968180276750.jpg,trafficLight,2
1478019968680240537.jpg,car,8
1478019968680240537.jpg,trafficLight,2
1478019969186707568.jpg,car,8
1478019969186707568.jpg,trafficLight,2
1478019969688638443.jpg,car,8
1478019969688638443.jpg,trafficLight,2
1478019970188563338.jpg,car,8
1478019970188563338.jpg,trafficLight,4
1478019970680532186.jpg,biker,2
1478019970680532186.jpg,car,6
1478019970680532186.jpg,trafficLight,4
1478019971185917857.jpg,biker,2
1478019971185917857.jpg,car,6
1478019971185917857.jpg,trafficLight,4
1478019971686116476.jpg,biker,4
1478019971686116476.jpg,car,8
1478019971686116476.jpg,pedestrian,2
1478019971686116476.jpg,trafficLight,10
1478019972180014279.jpg,biker,4
1478019972180014279.jpg,car,8
1478019972180014279.jpg,pedestrian,2
1478019972180014279.jpg,trafficLight,10
1478019972685986697.jpg,biker,2
1478019972685986697.jpg,car,10
1478019972685986697.jpg,pedestrian,2
1478019972685986697.jpg,trafficLight,10
1478019973185520968.jpg,biker,2
1478019973185520968.jpg,car,12
1478019973185520968.jpg,pedestrian,2
1478019973185520968.jpg,trafficLight,10
1478019973687625979.jpg,biker,2
1478019973687625979.jpg,car,12
1478019973687625979.jpg,pedestrian,2
1478019973687625979.jpg,trafficLight,14
1478019974179606198.jpg,biker,6
1478019974179606198.jpg,car,14
1478019974179606198.jpg,pedestrian,2
1478019974179606198.jpg,trafficLight,16
1478019974679051391.jpg,biker,4
1478019974679051391.jpg,car,12
1478019974679051391.jpg,pedestrian,2
1478019974679051391.jpg,trafficLight,16
1478019975180844551.jpg,biker,4
1478019975180844551.jpg,car,12
1478019975180844551.jpg,pedestrian,2
1478019975180844551.jpg,trafficLight,18
1478019975685727611.jpg,biker,2
1478019975685727611.jpg,car,16
1478019975685727611.jpg,pedestrian,2
1478019975685727611.jpg,trafficLight,18
1478019975685727611.jpg,truck,2
1478019976185898081.jpg,car,6
1478019976185898081.jpg,pedestrian,2
1478019976185898081.jpg,trafficLight,10
1478019976687231684.jpg,car,10
1478019976687231684.jpg,trafficLight,10
1478019977188852426.jpg,car,8
1478019977188852426.jpg,trafficLight,8
1478019977680527341.jpg,car,8
1478019977680527341.jpg,trafficLight,8
1478019978180101986.jpg,car,6
1478019978180101986.jpg,trafficLight,2
1478019978686299906.jpg,car,2
1478019979179856014.jpg,biker,2
1478019979179856014.jpg,car,2
1478019979680961324.jpg,biker,2
1478019979680961324.jpg,truck,4
1478019982681185768.jpg,pedestrian,4
1478019982681185768.jpg,truck,2
1478019983181354848.jpg,pedestrian,4
1478019983181354848.jpg,truck,2
1478019983689760521.jpg,pedestrian,4
1478019983689760521.jpg,truck,2
1478019984182279255.jpg,car,2
1478019984182279255.jpg,pedestrian,4
1478019984182279255.jpg,truck,2
1478020193690486111.jpg,car,2
1478020194190078499.jpg,car,6
1478020194690266730.jpg,car,8
1478020195196250051.jpg,car,8
1478020195689922407.jpg,car,8
1478020196196294557.jpg,car,8
1478020196696559542.jpg,car,8
1478020197191156937.jpg,car,8
1478020197691441017.jpg,car,6
1478020198191412480.jpg,car,4
1478020198691318173.jpg,car,4
1478020199190988152.jpg,car,8
1478020199190988152.jpg,trafficLight,2
1478020199696886386.jpg,car,6
1478020199696886386.jpg,trafficLight,2
1478020200190518278.jpg,car,4
1478020200190518278.jpg,trafficLight,2
1478020200690374841.jpg,car,4
1478020200690374841.jpg,trafficLight,2
1478020201190261169.jpg,car,4
1478020201190261169.jpg,trafficLight,2
1478020201689905548.jpg,car,4
1478020201689905548.jpg,trafficLight,4
1478020202188709849.jpg,car,4
1478020202188709849.jpg,trafficLight,4
1478020202688242798.jpg,car,2
1478020202688242798.jpg,trafficLight,4
1478020203195618875.jpg,car,4
1478020203195618875.jpg,trafficLight,6
1478020203690068016.jpg,car,6
1478020203690068016.jpg,trafficLight,6
1478020204198106423.jpg,car,6
1478020204198106423.jpg,trafficLight,6
1478020204688929584.jpg,car,6
1478020204688929584.jpg,trafficLight,6
1478020205189414278.jpg,car,6
1478020205189414278.jpg,trafficLight,6
1478020205689678816.jpg,car,4
1478020205689678816.jpg,trafficLight,10
1478020206190608784.jpg,car,4
1478020206190608784.jpg,trafficLight,10
1478020206697588208.jpg,car,8
1478020206697588208.jpg,trafficLight,10
1478020207190644712.jpg,car,8
1478020207190644712.jpg,trafficLight,8
1478020207697385417.jpg,car,10
1478020207697385417.jpg,trafficLight,12
1478020208191418605.jpg,car,12
1478020208191418605.jpg,trafficLight,12
1478020208698424055.jpg,car,12
1478020208698424055.jpg,trafficLight,12
1478020209190210692.jpg,car,12
1478020209190210692.jpg,trafficLight,14
1478020209691270577.jpg,car,14
1478020209691270577.jpg,trafficLight,18
1478020210190790169.jpg,car,12
1478020210190790169.jpg,trafficLight,16
1478020210691558747.jpg,car,12
1478020210691558747.jpg,trafficLight,16
1478020211190321969.jpg,car,10
1478020211190321969.jpg,trafficLight,16
1478020211690815798.jpg,car,12
1478020211690815798.jpg,trafficLight,16
1478020212192080435.jpg,car,10
1478020212192080435.jpg,trafficLight,14
1478020212689685926.jpg,car,4
1478020212689685926.jpg,trafficLight,6
1478020213196446056.jpg,car,4
1478020213196446056.jpg,trafficLight,6
1478020213690861968.jpg,car,2
1478020213690861968.jpg,trafficLight,8
1478020214191388441.jpg,car,4
1478020214191388441.jpg,trafficLight,16
1478020214697222108.jpg,car,4
1478020214697222108.jpg,trafficLight,12
1478020215192311942.jpg,car,4
1478020215192311942.jpg,trafficLight,12
1478020215691398311.jpg,car,4
1478020215691398311.jpg,trafficLight,12
1478020216196716027.jpg,car,6
1478020216196716027.jpg,trafficLight,6
1478020216698323099.jpg,car,4
1478020217196946967.jpg,car,4
1478020217196946967.jpg,pedestrian,2
1478020217690091318.jpg,car,4
1478020217690091318.jpg,pedestrian,2
1478020218191884276.jpg,car,4
1478020218191884276.jpg,pedestrian,2
1478020218693157396.jpg,car,6
1478020218693157396.jpg,pedestrian,2
1478020219199183180.jpg,car,4
1478020219199183180.jpg,pedestrian,4
1478020219697324624.jpg,car,2
1478020219697324624.jpg,pedestrian,4
1478020220191836915.jpg,car,4
1478020220191836915.jpg,pedestrian,4
1478020220697462096.jpg,car,4
1478020220697462096.jpg,pedestrian,4
1478020221190608129.jpg,car,6
1478020221190608129.jpg,pedestrian,4
1478020221697381210.jpg,car,6
1478020221697381210.jpg,pedestrian,4
1478020222191359294.jpg,car,6
1478020222191359294.jpg,pedestrian,4
1478020222697139180.jpg,car,6
1478020222697139180.jpg,pedestrian,4
1478020223200419014.jpg,car,8
1478020223200419014.jpg,pedestrian,2
1478020223699479085.jpg,car,12
1478020224197266285.jpg,car,12
1478020224691768528.jpg,car,12
1478020225192384535.jpg,car,6
1478020225692825294.jpg,car,6
1478020226199196648.jpg,car,4
1478020226693020067.jpg,car,4
1478020227191969599.jpg,car,10
1478020227191969599.jpg,trafficLight,6
1478020227697609245.jpg,car,10
1478020227697609245.jpg,trafficLight,6
1478020228190773357.jpg,car,12
1478020228190773357.jpg,trafficLight,10
1478020228692053378.jpg,car,12
1478020228692053378.jpg,trafficLight,10
1478020229191580445.jpg,car,10
1478020229191580445.jpg,trafficLight,10
1478020229693065514.jpg,car,16
1478020229693065514.jpg,trafficLight,10
1478020230199905808.jpg,car,16
1478020230199905808.jpg,trafficLight,10
1478020230691664910.jpg,car,20
1478020230691664910.jpg,trafficLight,10
1478020231192141988.jpg,car,18
1478020231192141988.jpg,trafficLight,10
1478020231691535596.jpg,car,18
1478020231691535596.jpg,trafficLight,12
1478020232212661501.jpg,car,16
1478020232212661501.jpg,trafficLight,12
1478020232692272848.jpg,car,18
1478020232692272848.jpg,trafficLight,12
1478020232692272848.jpg,truck,4
1478020233192824837.jpg,car,20
1478020233192824837.jpg,trafficLight,12
1478020233192824837.jpg,truck,4
1478020233691620643.jpg,car,22
1478020233691620643.jpg,trafficLight,12
1478020233691620643.jpg,truck,4
1478020234197295938.jpg,car,24
1478020234197295938.jpg,trafficLight,12
1478020234197295938.jpg,truck,4
1478020234692375465.jpg,car,20
1478020234692375465.jpg,trafficLight,12
1478020234692375465.jpg,truck,4
1478020235191594821.jpg,car,16
1478020235191594821.jpg,trafficLight,14
1478020235191594821.jpg,truck,2
1478020235690729946.jpg,car,18
1478020235690729946.jpg,trafficLight,14
1478020236191625540.jpg,car,20
1478020236191625540.jpg,trafficLight,14
1478020236691677599.jpg,car,16
1478020236691677599.jpg,trafficLight,14
1478020237191578132.jpg,car,18
1478020237191578132.jpg,trafficLight,14
1478020237191578132.jpg,truck,2
1478020237697303809.jpg,car,10
1478020237697303809.jpg,trafficLight,8
1478020238191355246.jpg,car,10
1478020238191355246.jpg,trafficLight,8
1478020238698105458.jpg,car,10
1478020238698105458.jpg,trafficLight,8
1478020239197694369.jpg,car,14
1478020239197694369.jpg,trafficLight,6
1478020239701924862.jpg,car,10
1478020239701924862.jpg,trafficLight,8
1478020240191697026.jpg,car,6
1478020240191697026.jpg,trafficLight,8
1478020240698496203.jpg,car,6
1478020240698496203.jpg,trafficLight,8
1478020241197041221.jpg,car,8
1478020241197041221.jpg,trafficLight,8
1478020241689891151.jpg,car,10
1478020241689891151.jpg,trafficLight,6
1478020242196911641.jpg,car,10
1478020242196911641.jpg,trafficLight,6
1478020242704259784.jpg,car,8
1478020242704259784.jpg,trafficLight,6
1478020243205145193.jpg,car,8
1478020243205145193.jpg,trafficLight,6
1478020243689728545.jpg,car,8
1478020243689728545.jpg,trafficLight,6
1478020244189375590.jpg,car,10
1478020244189375590.jpg,trafficLight,6
1478020244690239779.jpg,car,8
1478020244690239779.jpg,trafficLight,6
1478020245189639963.jpg,car,6
1478020245189639963.jpg,trafficLight,6
1478020245697738668.jpg,car,6
1478020245697738668.jpg,trafficLight,6
1478020246196421177.jpg,car,6
1478020246196421177.jpg,trafficLight,6
1478020246699558321.jpg,car,8
1478020246699558321.jpg,trafficLight,6
1478020247189349163.jpg,car,8
1478020247189349163.jpg,trafficLight,6
1478020247696017189.jpg,car,10
1478020247696017189.jpg,trafficLight,6
1478020248195735152.jpg,car,12
1478020248195735152.jpg,trafficLight,6
1478020248696734038.jpg,car,12
1478020248696734038.jpg,trafficLight,6
1478020249197942478.jpg,car,12
1478020249197942478.jpg,trafficLight,6
1478020249699425195.jpg,car,12
1478020249699425195.jpg,trafficLight,6
1478020250189752820.jpg,car,8
1478020250189752820.jpg,trafficLight,6
1478020250689832600.jpg,car,8
1478020250689832600.jpg,trafficLight,6
1478020251190269468.jpg,car,8
1478020251190269468.jpg,trafficLight,6
1478020251695726207.jpg,car,8
1478020251695726207.jpg,trafficLight,10
1478020251695726207.jpg,truck,2
1478020252190316963.jpg,car,8
1478020252190316963.jpg,trafficLight,10
1478020252190316963.jpg,truck,2
1478020252695947666.jpg,car,6
1478020252695947666.jpg,trafficLight,10
1478020252695947666.jpg,truck,2
1478020253199038932.jpg,car,6
1478020253199038932.jpg,trafficLight,10
1478020253199038932.jpg,truck,2
1478020253690036656.jpg,car,6
1478020253690036656.jpg,trafficLight,6
1478020253690036656.jpg,truck,2
1478020254190483139.jpg,car,6
1478020254190483139.jpg,pedestrian,2
1478020254190483139.jpg,trafficLight,4
1478020254190483139.jpg,truck,2
1478020254691046690.jpg,car,6
1478020254691046690.jpg,pedestrian,4
1478020254691046690.jpg,trafficLight,2
1478020254691046690.jpg,truck,2
1478020255198077861.jpg,car,6
1478020255198077861.jpg,pedestrian,4
1478020255198077861.jpg,trafficLight,2
1478020255198077861.jpg,truck,2
1478020255697845222.jpg,car,6
1478020255697845222.jpg,pedestrian,4
1478020255697845222.jpg,trafficLight,2
1478020255697845222.jpg,truck,2
1478020256192066071.jpg,car,8
1478020256192066071.jpg,pedestrian,4
1478020256192066071.jpg,trafficLight,2
1478020256192066071.jpg,truck,2
1478020256699578122.jpg,car,8
1478020256699578122.jpg,pedestrian,4
1478020256699578122.jpg,trafficLight,2
1478020256699578122.jpg,truck,2
1478020257199227642.jpg,car,8
1478020257199227642.jpg,pedestrian,4
1478020257199227642.jpg,trafficLight,2
1478020257199227642.jpg,truck,2
1478020257692662705.jpg,car,10
1478020257692662705.jpg,pedestrian,4
1478020257692662705.jpg,trafficLight,2
1478020257692662705.jpg,truck,2
1478020258199186280.jpg,car,10
1478020258199186280.jpg,pedestrian,4
1478020258199186280.jpg,trafficLight,2
1478020258199186280.jpg,truck,2
1478020258692272616.jpg,car,10
1478020258692272616.jpg,pedestrian,4
1478020258692272616.jpg,trafficLight,2
1478020259194111192.jpg,car,8
1478020259194111192.jpg,pedestrian,6
1478020259194111192.jpg,trafficLight,6
1478020259694436222.jpg,car,8
1478020259694436222.jpg,pedestrian,4
1478020259694436222.jpg,trafficLight,8
1478020260194740178.jpg,car,8
1478020260194740178.jpg,pedestrian,4
1478020260194740178.jpg,trafficLight,8
1478020260703424325.jpg,car,8
1478020260703424325.jpg,pedestrian,10
1478020260703424325.jpg,trafficLight,10
1478020261195426743.jpg,car,8
1478020261195426743.jpg,pedestrian,8
1478020261195426743.jpg,trafficLight,10
1478020261697466210.jpg,car,8
1478020261697466210.jpg,pedestrian,6
1478020261697466210.jpg,trafficLight,8
1478020262198731708.jpg,car,8
1478020262198731708.jpg,pedestrian,6
1478020262198731708.jpg,trafficLight,8
1478020262693294939.jpg,car,4
1478020262693294939.jpg,pedestrian,6
1478020262693294939.jpg,trafficLight,6
1478020263192438788.jpg,car,2
1478020263192438788.jpg,pedestrian,6
1478020263192438788.jpg,trafficLight,6
1478020263697979049.jpg,biker,2
1478020263697979049.jpg,car,2
1478020263697979049.jpg,pedestrian,4
1478020263697979049.jpg,trafficLight,6
1478020264191526033.jpg,biker,2
1478020264191526033.jpg,car,6
1478020264191526033.jpg,pedestrian,4
1478020264191526033.jpg,trafficLight,6
1478020264690914781.jpg,biker,2
1478020264690914781.jpg,car,6
1478020264690914781.jpg,pedestrian,6
1478020264690914781.jpg,trafficLight,6
1478020265197595672.jpg,biker,2
1478020265197595672.jpg,car,6
1478020265197595672.jpg,pedestrian,6
1478020265197595672.jpg,trafficLight,6
1478020265697640039.jpg,biker,2
1478020265697640039.jpg,car,4
1478020265697640039.jpg,pedestrian,4
1478020265697640039.jpg,trafficLight,6
1478020266199625987.jpg,biker,2
1478020266199625987.jpg,car,6
1478020266199625987.jpg,pedestrian,2
1478020266199625987.jpg,trafficLight,6
1478020266698345154.jpg,biker,2
1478020266698345154.jpg,car,6
1478020266698345154.jpg,trafficLight,6
1478020267198258485.jpg,biker,2
1478020267198258485.jpg,car,6
1478020267198258485.jpg,trafficLight,6
1478020267691755176.jpg,biker,2
1478020267691755176.jpg,car,6
1478020267691755176.jpg,trafficLight,6
1478020268190844016.jpg,biker,2
1478020268190844016.jpg,car,6
1478020268190844016.jpg,trafficLight,6
1478020268697918588.jpg,biker,2
1478020268697918588.jpg,car,6
1478020268697918588.jpg,trafficLight,6
1478020269197223375.jpg,biker,2
1478020269197223375.jpg,car,6
1478020269197223375.jpg,trafficLight,6
1478020269690837190.jpg,biker,2
1478020269690837190.jpg,car,6
1478020269690837190.jpg,trafficLight,6
1478020270191361531.jpg,biker,2
1478020270191361531.jpg,car,6
1478020270191361531.jpg,trafficLight,6
1478020270697025674.jpg,biker,2
1478020270697025674.jpg,car,4
1478020270697025674.jpg,trafficLight,6
1478020271190634502.jpg,biker,2
1478020271190634502.jpg,car,6
1478020271190634502.jpg,trafficLight,6
1478020271698715751.jpg,biker,2
1478020271698715751.jpg,car,4
1478020271698715751.jpg,trafficLight,6
1478020272197005958.jpg,car,4
1478020272197005958.jpg,trafficLight,6
1478020272691084348.jpg,car,8
1478020272691084348.jpg,trafficLight,6
1478020273199399031.jpg,car,4
1478020273199399031.jpg,trafficLight,6
1478020273696759660.jpg,biker,2
1478020273696759660.jpg,car,6
1478020273696759660.jpg,trafficLight,6
1478020274196464252.jpg,car,8
1478020274196464252.jpg,trafficLight,6
1478020274698882560.jpg,car,6
1478020274698882560.jpg,trafficLight,6
1478020274698882560.jpg,truck,2
1478020275197814891.jpg,car,2
1478020275197814891.jpg,trafficLight,6
1478020275197814891.jpg,truck,2
1478020275697763196.jpg,car,2
1478020275697763196.jpg,trafficLight,6
1478020275697763196.jpg,truck,2
1478020276199759483.jpg,biker,2
1478020276199759483.jpg,trafficLight,6
1478020276199759483.jpg,truck,2
1478020276698606427.jpg,biker,4
1478020276698606427.jpg,car,6
1478020276698606427.jpg,trafficLight,8
1478020276698606427.jpg,truck,2
1478020277190872651.jpg,biker,2
1478020277190872651.jpg,car,6
1478020277190872651.jpg,trafficLight,8
1478020277697291865.jpg,biker,2
1478020277697291865.jpg,car,6
1478020277697291865.jpg,trafficLight,8
1478020278191731673.jpg,car,6
1478020278191731673.jpg,trafficLight,8
1478020278697427963.jpg,biker,4
1478020278697427963.jpg,car,6
1478020278697427963.jpg,trafficLight,8
1478020279199978858.jpg,biker,4
1478020279199978858.jpg,car,10
1478020279199978858.jpg,trafficLight,8
1478020279698929810.jpg,biker,4
1478020279698929810.jpg,car,8
1478020279698929810.jpg,trafficLight,8
1478020280197384728.jpg,biker,4
1478020280197384728.jpg,car,6
1478020280197384728.jpg,trafficLight,8
1478020280697759087.jpg,biker,2
1478020280697759087.jpg,car,8
1478020280697759087.jpg,trafficLight,8
1478020281197174739.jpg,car,12
1478020281197174739.jpg,trafficLight,8
1478020281691971536.jpg,car,8
1478020281691971536.jpg,trafficLight,8
1478020282192788758.jpg,biker,4
1478020282192788758.jpg,car,10
1478020282192788758.jpg,trafficLight,8
1478020282699635345.jpg,biker,4
1478020282699635345.jpg,car,12
1478020282699635345.jpg,pedestrian,2
1478020282699635345.jpg,trafficLight,8
1478020283198660165.jpg,biker,4
1478020283198660165.jpg,car,10
1478020283198660165.jpg,pedestrian,4
1478020283198660165.jpg,trafficLight,8
1478020283697257862.jpg,biker,4
1478020283697257862.jpg,car,6
1478020283697257862.jpg,pedestrian,4
1478020283697257862.jpg,trafficLight,6
1478020284198449721.jpg,biker,4
1478020284198449721.jpg,car,6
1478020284198449721.jpg,pedestrian,2
1478020284198449721.jpg,trafficLight,6
1478020284690878247.jpg,biker,2
1478020284690878247.jpg,car,6
1478020284690878247.jpg,pedestrian,4
1478020284690878247.jpg,trafficLight,8
1478020285197265564.jpg,car,6
1478020285197265564.jpg,pedestrian,4
1478020285197265564.jpg,trafficLight,8
1478020285691193851.jpg,car,2
1478020285691193851.jpg,pedestrian,4
1478020285691193851.jpg,trafficLight,8
1478020286191401014.jpg,biker,4
1478020286191401014.jpg,car,6
1478020286191401014.jpg,pedestrian,2
1478020286191401014.jpg,trafficLight,8
1478020286691706747.jpg,biker,4
1478020286691706747.jpg,car,6
1478020286691706747.jpg,pedestrian,4
1478020286691706747.jpg,trafficLight,8
1478020287197839763.jpg,biker,4
1478020287197839763.jpg,car,4
1478020287197839763.jpg,pedestrian,4
1478020287197839763.jpg,trafficLight,8
1478020287697841375.jpg,biker,2
1478020287697841375.jpg,car,4
1478020287697841375.jpg,pedestrian,2
1478020287697841375.jpg,trafficLight,6
1478020288198083383.jpg,biker,2
1478020288198083383.jpg,car,4
1478020288198083383.jpg,pedestrian,2
1478020288198083383.jpg,trafficLight,6
1478020288692028187.jpg,biker,2
1478020288692028187.jpg,car,4
1478020288692028187.jpg,pedestrian,2
1478020288692028187.jpg,trafficLight,6
1478020289193426867.jpg,biker,2
1478020289193426867.jpg,car,4
1478020289193426867.jpg,pedestrian,4
1478020289193426867.jpg,trafficLight,6
1478020289699341574.jpg,biker,2
1478020289699341574.jpg,car,4
1478020289699341574.jpg,pedestrian,4
1478020289699341574.jpg,trafficLight,6
1478020290197860608.jpg,biker,2
1478020290197860608.jpg,car,4
1478020290197860608.jpg,pedestrian,4
1478020290197860608.jpg,trafficLight,6
1478020290697453052.jpg,car,6
1478020290697453052.jpg,pedestrian,4
1478020290697453052.jpg,trafficLight,6
1478020291199453460.jpg,car,6
1478020291199453460.jpg,pedestrian,4
1478020291199453460.jpg,trafficLight,6
1478020291692201953.jpg,biker,2
1478020291692201953.jpg,car,6
1478020291692201953.jpg,pedestrian,4
1478020291692201953.jpg,trafficLight,6
1478020292192550265.jpg,biker,2
1478020292192550265.jpg,car,8
1478020292192550265.jpg,pedestrian,4
1478020292192550265.jpg,trafficLight,6
1478020292701401714.jpg,biker,2
1478020292701401714.jpg,car,8
1478020292701401714.jpg,trafficLight,6
1478020293193012100.jpg,biker,2
1478020293193012100.jpg,car,6
1478020293193012100.jpg,pedestrian,2
1478020293193012100.jpg,trafficLight,6
1478020293697722118.jpg,biker,2
1478020293697722118.jpg,car,6
1478020293697722118.jpg,pedestrian,2
1478020293697722118.jpg,trafficLight,6
1478020294192192791.jpg,biker,2
1478020294192192791.jpg,car,6
1478020294192192791.jpg,pedestrian,2
1478020294192192791.jpg,trafficLight,6
1478020294691570078.jpg,biker,2
1478020294691570078.jpg,car,6
1478020294691570078.jpg,pedestrian,2
1478020294691570078.jpg,trafficLight,6
1478020295192032509.jpg,biker,2
1478020295192032509.jpg,car,6
1478020295192032509.jpg,pedestrian,2
1478020295192032509.jpg,trafficLight,6
1478020295698459455.jpg,biker,2
1478020295698459455.jpg,car,6
1478020295698459455.jpg,trafficLight,6
1478020296199926725.jpg,biker,2
1478020296199926725.jpg,car,6
1478020296199926725.jpg,trafficLight,6
1478020296697349606.jpg,biker,2
1478020296697349606.jpg,car,8
1478020296697349606.jpg,trafficLight,6
1478020297191534570.jpg,biker,2
1478020297191534570.jpg,car,8
1478020297191534570.jpg,trafficLight,6
1478020297691704932.jpg,biker,2
1478020297691704932.jpg,car,8
1478020297691704932.jpg,trafficLight,6
1478020298191539209.jpg,biker,1
1478020298191539209.jpg,car,4
1478020298191539209.jpg,trafficLight,3
1478020298698253922.jpg,biker,2
1478020298698253922.jpg,car,8
1478020298698253922.jpg,pedestrian,2
1478020298698253922.jpg,trafficLight,6
1478020299201040702.jpg,biker,2
1478020299201040702.jpg,car,6
1478020299201040702.jpg,pedestrian,4
1478020299201040702.jpg,trafficLight,6
1478020299691687122.jpg,car,6
1478020299691687122.jpg,pedestrian,2
1478020299691687122.jpg,trafficLight,6
1478020300198426240.jpg,car,2
1478020300198426240.jpg,pedestrian,2
1478020300198426240.jpg,trafficLight,6
1478020300691292636.jpg,car,2
1478020300691292636.jpg,pedestrian,2
1478020300691292636.jpg,trafficLight,6
1478020301191662741.jpg,car,2
1478020301191662741.jpg,trafficLight,6
1478020301692584665.jpg,car,2
1478020301692584665.jpg,trafficLight,6
1478020302199703539.jpg,car,4
1478020302199703539.jpg,trafficLight,6
1478020302700970163.jpg,car,4
1478020302700970163.jpg,trafficLight,6
1478020303198608618.jpg,car,4
1478020303198608618.jpg,trafficLight,6
1478020303697912784.jpg,car,4
1478020303697912784.jpg,trafficLight,6
1478020304192296417.jpg,car,2
1478020304192296417.jpg,trafficLight,6
1478020304699195865.jpg,car,4
1478020304699195865.jpg,trafficLight,6
1478020305192718020.jpg,car,6
1478020305192718020.jpg,trafficLight,6
1478020305699975335.jpg,car,8
1478020305699975335.jpg,trafficLight,6
1478020306191651906.jpg,car,8
1478020306191651906.jpg,trafficLight,6
1478020306693147086.jpg,car,10
1478020306693147086.jpg,trafficLight,6
1478020307192120430.jpg,car,10
1478020307192120430.jpg,trafficLight,6
1478020307699069215.jpg,car,10
1478020307699069215.jpg,trafficLight,6
1478020308193145059.jpg,car,8
1478020308193145059.jpg,trafficLight,6
1478020308698717301.jpg,car,6
1478020308698717301.jpg,trafficLight,6
1478020309199731490.jpg,car,4
1478020309199731490.jpg,trafficLight,6
1478020309698585742.jpg,car,2
1478020309698585742.jpg,trafficLight,6
1478020310197791838.jpg,car,4
1478020310197791838.jpg,trafficLight,6
1478020310692034549.jpg,car,6
1478020310692034549.jpg,trafficLight,6
1478020311192010561.jpg,car,6
1478020311192010561.jpg,trafficLight,6
1478020311699039278.jpg,car,4
1478020311699039278.jpg,trafficLight,6
1478020312200109558.jpg,car,2
1478020312200109558.jpg,trafficLight,6
1478020312692274517.jpg,car,2
1478020312692274517.jpg,trafficLight,6
1478020313192115464.jpg,car,2
1478020313192115464.jpg,trafficLight,6
1478020313692595277.jpg,car,4
1478020313692595277.jpg,trafficLight,6
1478020314200007315.jpg,car,4
1478020314200007315.jpg,trafficLight,10
1478020314692309135.jpg,car,4
1478020314692309135.jpg,trafficLight,10
1478020315199210629.jpg,car,2
1478020315199210629.jpg,trafficLight,10
1478020315700526555.jpg,car,2
1478020315700526555.jpg,trafficLight,10
1478020316200399888.jpg,car,2
1478020316200399888.jpg,trafficLight,10
1478020316699223523.jpg,car,2
1478020316699223523.jpg,trafficLight,10
1478020317194275481.jpg,car,2
1478020317194275481.jpg,pedestrian,2
1478020317194275481.jpg,trafficLight,10
1478020317692915659.jpg,car,2
1478020317692915659.jpg,pedestrian,2
1478020317692915659.jpg,trafficLight,10
1478020318193016626.jpg,car,2
1478020318193016626.jpg,pedestrian,2
1478020318193016626.jpg,trafficLight,10
1478020318699890337.jpg,car,2
1478020318699890337.jpg,pedestrian,2
1478020318699890337.jpg,trafficLight,10
1478020319193265623.jpg,car,2
1478020319193265623.jpg,pedestrian,2
